학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,학제별,평균입학금,평균등록금(원),일반학자금대출_전체_학생수,일반학자금대출_전체_금액,일반학자금대출_등록금_학생수,일반학자금대출_등록금_금액,취업학자금대출_전체_학생수,취업학자금대출_전체_금액,취업학자금대출_등록금_학생수,취업학자금대출_등록금_금액,일반_생활비대출_금액,취업_생활비대출_금액,총_생활비대출_금액,총_등록금대출_금액,총_대출_금액,총_대출_학생수
건양대학교,사립,충남,17596012686,1518271500,26621412694,대학,0,7429363.0,683,2133255310,467,1283220210,1083,2689031358,414,1016059128,850035100,1672972230,2523007330,2299279338,4822286668,1766
건양사이버대학교,사립,대전,8235644052,12376500,9895117834,대학,0,2537763.9,507,1059169500,190,231469500,147,324352625,56,65039700,827700000,259312925,1087012925,296509200,1383522125,654
경기과학기술대학교,사립,경기,12717373998,61622960,16092637039,전문대학,0,6933951.9,465,1435874276,336,898274276,608,1716714026,367,823437992,537600000,893276034,1430876034,1721712268,3152588302,1073
경기대학교,사립,경기,33310345110,5454261200,51811828645,대학,0,8003495.9,2517,10864106500,2168,8343523500,2060,5733879033,1137,2944029013,2520583000,2789850020,5310433020,11287552513,16597985533,4577
경남대학교,사립,경남,23504388931,822379980,33880956270,대학,0,7060677.8,985,3002966120,655,1751516120,1566,4000606526,610,1482801392,1251450000,2517805134,3769255134,3234317512,7003572646,2551
경남도립거창대학,국공립,경남,1661598020,844743000,2709976215,전문대학,0,2859245.1,37,74005000,9,12905000,62,125981000,13,18181000,61100000,107800000,168900000,31086000,199986000,99
경남정보대학교,사립,부산,19602123639,51696600,23249099612,전문대학,0,6732394.5,585,1508337500,313,655187500,1319,3177238387,487,1040121874,853150000,2137116513,2990266513,1695309374,4685575887,1904
경동대학교,사립,강원,17844352020,3458940646,31317089896,대학,0,8651314.8,761,2898814800,593,2214014800,1633,5227325449,1026,3104103769,684800000,2123221680,2808021680,5318118569,8126140249,2394
경민대학교,사립,경기,14509519052,359940000,18568000000,전문대학,0,7081098.3,467,1343718370,328,827768370,878,2333909934,467,1087274003,515950000,1246635931,1762585931,1915042373,3677628304,1345
경복대학교,사립,경기,20082115359,2141185000,26444496981,전문대학,0,7171732.1,628,1978485000,451,1285535000,1387,3716386056,728,1702219376,692950000,2014166680,2707116680,2987754376,5694871056,2015
경북과학대학교,사립,경북,6800971822,32631700,8963885865,전문대학,0,5745592.5,175,444208100,76,156708100,180,475412000,93,192712000,287500000,282700000,570200000,349420100,919620100,355
경북대학교,국공립,대구,46181847879,3923838350,64770483901,대학,0,4524820.1,3712,12197410180,2498,7113910180,3023,7041589512,743,1834590923,5083500000,5206998589,10290498589,8948501103,19238999692,6735
경북도립대학교,국공립,경북,1593666278,48760000,2432986400,전문대학,0,2459067.8,48,82653300,4,4653300,76,142825750,6,6425750,78000000,136400000,214400000,11079050,225479050,124
경북보건대학교,사립,경북,4124735812,196338000,5331441650,전문대학,0,5777034.0,118,341634500,69,169784500,261,644403247,111,234902340,171850000,409500907,581350907,404686840,986037747,379
경북전문대학교,사립,경북,9176691735,12040000,11637361446,전문대학,0,6282520.8,204,508095800,89,195995800,456,1052053259,146,291793500,312100000,760259759,1072359759,487789300,1560149059,660
경상국립대학교,국공립,경남,34997445291,1015069792,45505989873,대학,0,4095673.4,1738,4846706500,1023,2404506500,2533,5531760309,650,1276071383,2442200000,4255688926,6697888926,3680577883,10378466809,4271
경성대학교,사립,부산,29435088924,1924283160,41980207209,대학,0,7561386.3,1461,4725499300,1005,2985899300,2499,7258971127,1383,3570648299,1739600000,3688322828,5427922828,6556547599,11984470427,3960
경운대학교,사립,경북,14070681946,352983500,24972342313,대학,0,8046670.2,358,1211627700,217,723927700,775,2389690780,452,1276774100,487700000,1112916680,1600616680,2000701800,3601318480,1133
경인교육대학교,국공립,인천,3567522906,433488000,5797960960,대학,0,3493348.8,340,989387800,269,566437800,172,380876000,60,93526000,422950000,287350000,710300000,659963800,1370263800,512
경인여자대학교,사립,인천,10924811807,327026340,13853331399,전문대학,0,6971178.9,433,1384280750,351,973930750,861,2551305288,566,1446550235,410350000,1104755053,1515105053,2420480985,3935586038,1294
경일대학교,사립,경북,23059562786,1659270670,31378792675,대학,0,7997556.5,922,2815056370,661,1877106370,1206,3259148678,600,1493817487,937950000,1765331191,2703281191,3370923857,6074205048,2128
경희대학교,사립,서울,46494470493,9027216325,83830341317,대학,0,8699742.0,5950,31587658640,5016,25503690540,3530,11965425718,1931,6887491739,6083968100,5077933979,11161902079,32391182279,43553084358,9480
경희사이버대학교,사립,서울,12993867186,694976000,18196007335,대학,0,2931652.2,1221,2759824000,560,671624000,780,1712053902,347,381520558,2088200000,1330533344,3418733344,1053144558,4471877902,2001
계명대학교,사립,대구,56473631729,3726019220,83726970167,대학,0,8236598.9,2437,8858439600,1859,6102839600,3775,10812690429,2175,5398745676,2755600000,5413944753,8169544753,11501585276,19671130029,6212
계명문화대학교,사립,대구,18058607198,80436600,22137132889,전문대학,0,6510125.5,341,865633000,177,437283000,670,1568274965,235,494733860,428350000,1073541105,1501891105,932016860,2433907965,1011
