학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,총_대출_금액,총_등록금대출_금액,총_생활비대출_금액,총_대출_학생수
예수대학교,사립,전북,1430386632,125057000,1850899675,355494000,197894000,157600000,125
예원예술대학교,사립,전북,2182688384,116419000,3737027520,1214724280,850774280,363950000,326
오산대학교,사립,경기,11609267544,5196000,15253208203,3414367826,2042617826,1371750000,1151
용인대학교,사립,경기,15611424928,1308202800,21573193510,8989800254,6219917520,2769882734,2438
용인예술과학대학교,사립,경기,6755039702,0,8864296375,2745234393,1648688720,1096545673,915
우석대학교,사립,전북,19866566053,608034820,26857797942,6291711599,3459536217,2832175382,2009
우송대학교,사립,대전,27296569575,759642540,41788761782,7020636060,3951536060,3069100000,2375
우송정보대학,사립,대전,11134364033,0,13679458591,1895040218,730290977,1164749241,761
울산과학기술원,국공립,울산,2931286542,52552000,12728147295,1667363660,618563660,1048800000,621
울산과학대학교,사립,울산,12601653312,906028300,16645593367,3221713014,1512467155,1709245859,1192
웅지세무대학교,사립,경기,439063320,64050000,947631320,93950000,29950000,64000000,44
원광대학교,사립,전북,35118756883,3763668901,50363170102,12926723871,7287790934,5638932937,3807
원광디지털대학교,사립,전북,8402333560,265876000,10866595740,1894635000,407685000,1486950000,854
원광보건대학교,사립,전북,13504370623,182927175,17215009747,3199808850,1302625510,1897183340,1288
위덕대학교,사립,경북,7112479637,8323000,10285635601,1310568589,640022400,670546189,498
유원대학교,사립,충북,11377984128,18140000,25406860288,1954052500,875202500,1078850000,718
유한대학교,사립,경기,12256710811,1127750200,15996396436,3879765042,2223821343,1655943699,1350
을지대학교,사립,대전,11612466294,3674104300,18769868329,4923662685,3483047722,1440614963,1378
이화여자대학교,사립,서울,26977766814,11857231326,56816775931,32296067030,25303391914,6992675116,6414
인덕대학교,사립,서울,16310618817,2024428170,20614258405,6032833035,3725583035,2307250000,1963
인제대학교,사립,경남,21325634794,2389231600,29815087765,8341064821,4632077412,3708987409,2712
인천대학교,국공립,인천,26412216855,2218828667,37440493078,8140996359,3486469679,4654526680,3161
인하공업전문대학,사립,인천,20747832724,1412476380,28982779296,6562518097,3685744174,2876773923,2190
인하대학교,사립,인천,38886988719,4527459000,61359069359,21427332234,13433089900,7994242334,6279
장로회신학대학교,사립,서울,2089279948,92948000,2791650905,5624399828,4036908667,1587491161,1220
재능대학교,사립,인천,9274732798,783733389,12333988145,2994760060,1650046111,1344713949,1020
전남과학대학교,사립,전남,11335171573,151970000,13257904087,1541103000,501653000,1039450000,676
전남대학교,국공립,광주,40427465968,3251468320,58416519402,15911428359,7397825254,8513603105,5464
전남도립대학교,국공립,전남,1482233612,0,2108041405,212951000,20351000,192600000,107
