학교명,설립별,지역별,학제별,평균등록금(원),장학금_총계,총_대출_학생수,총_대출_금액,총_등록금대출_금액
단국대학교,사립,경기,대학,8842297.7,76166048653,8471,32738869080,22293887924
대경대학교,사립,경북,전문대학,6496174.3,16537949913,1066,2651600339,1039918971
대구가톨릭대학교,사립,경북,대학,7904801.4,50944494232,3559,10562890159,5846092414
대구경북과학기술원,국공립,대구,대학,7934000.0,2501474825,227,484683680,54200340
대구공업대학교,사립,대구,전문대학,6040550.6,6570966620,84,171595500,31895500
대구과학대학교,사립,대구,전문대학,6305808.3,22528490490,958,2460734910,1044284910
대구교육대학교,국공립,대구,대학,3896000.0,3556199070,391,1082022280,549672280
대구대학교,사립,경북,대학,7556022.7,68638008459,4718,14002407640,8021919186
대구보건대학교,사립,대구,전문대학,6797857.4,27937740888,2406,6590279718,3192678436
대구사이버대학교,사립,경북,대학,2691789.5,6609855855,784,1807582591,463698562
대구예술대학교,사립,경북,대학,8390429.3,1127356696,91,245243500,141193500
대구한의대학교,사립,경북,대학,7845054.2,32253898367,1817,5269130409,2546730280
대덕대학교,사립,대전,전문대학,6268134.3,6893147456,321,710077653,249858719
대동대학교,사립,부산,전문대학,6596194.4,5734535311,654,1778905583,855955583
대림대학교,사립,경기,전문대학,7359284.1,26246181964,1776,5165274194,2997269586
대신대학교,사립,경북,대학,6626353.4,2885882115,216,651936840,318853500
대원대학교,사립,충북,전문대학,6447452.7,7327877596,664,1729788069,675638069
대전과학기술대학교,사립,대전,전문대학,6424652.2,13420732483,1073,3024500369,1434395212
대전보건대학교,사립,대전,전문대학,6505339.1,15720122941,1413,3904855447,1854555447
대전신학대학교,사립,대전,대학,6100000.0,368776000,62,225194500,128694500
대진대학교,사립,경기,대학,8246988.5,29120483653,2526,8031518058,5103200747
덕성여자대학교,사립,서울,대학,7810760.7,17152027475,1537,5049160093,3271471504
동강대학교,사립,광주,전문대학,5860777.0,9464133502,640,1624802300,590002300
동국대학교,사립,서울,대학,8560649.0,76072851709,7348,29466873214,19996606773
동남보건대학교,사립,경기,전문대학,6785908.1,15736031210,1539,4768714667,2920341937
동덕여자대학교,사립,서울,대학,8126346.6,24344442934,1944,6892912593,4559030524
동서대학교,사립,부산,대학,7543205.4,37384960111,3202,9162939387,4892616554
동서울대학교,사립,경기,전문대학,7161803.3,20171949602,1752,5282552252,3124199690
동신대학교,사립,전남,대학,7249025.9,25454944180,1434,4052211722,1955411722
동아대학교,사립,부산,대학,7896057.5,66348824140,6225,21484532524,13362786284
동아방송예술대학교,사립,경기,전문대학,7877335.8,12152781075,1518,4921181479,2916037009
동아보건대학교,사립,전남,전문대학,4846806.6,4059026670,343,799421700,244221700
동양대학교,사립,경북,대학,7942642.8,15974708819,1024,2934212036,1645212036
동양미래대학교,사립,서울,전문대학,7237317.7,23618814199,1879,5610707852,3511987289
동원과학기술대학교,사립,경남,전문대학,6373017.2,10478041818,740,2002027973,870577973
동원대학교,사립,경기,전문대학,7343439.7,13181186877,789,2183802980,1171052980
동의과학대학교,사립,부산,전문대학,6875240.2,18436651798,1198,3077474749,1255558079
동의대학교,사립,부산,대학,7580400.9,58338448394,4266,12403668665,6346575877
두원공과대학교,사립,경기,전문대학,7019783.0,7621621477,800,2391369161,1328769161
디지털서울문화예술대학교,사립,서울,대학,3126349.9,6143454333,633,1600027854,643577854
마산대학교,사립,경남,전문대학,6397885.8,19166508600,1649,4422326785,2063056785
명지대학교,사립,경기,대학,8793563.1,47871835560,5320,21326978552,14920553131
명지전문대학,사립,서울,전문대학,7163968.3,26020423885,2011,6324759810,3790576460
목원대학교,사립,대전,대학,7965994.0,30611706320,2068,6099505592,3180179389
목포가톨릭대학교,사립,전남,대학,6758000.0,2306669880,115,302859817,134609817
목포과학대학교,사립,전남,전문대학,6106660.5,12231809332,762,1952206192,746606192
문경대학교,사립,경북,전문대학,6357049.4,3608096932,352,944335458,379116423
배재대학교,사립,대전,대학,7959587.6,29089266173,2003,5697062562,2918523033
배화여자대학교,사립,서울,전문대학,6825818.6,8649188937,727,2148112129,1257312129
백석대학교,사립,충남,대학,8626213.5,46081294843,5967,21564289209,14146700998
백석문화대학교,사립,충남,전문대학,7501632.0,14837163329,1364,4317540002,2366877071
백제예술대학교,사립,전북,전문대학,8080685.5,2807685626,334,1175338077,740138077
부산가톨릭대학교,사립,부산,대학,7470200.0,16075350566,1088,3263837621,1797225931
부산경상대학교,사립,부산,전문대학,5696012.6,9685530924,332,873519414,334886074
부산과학기술대학교,사립,부산,전문대학,6595823.1,16430388478,658,1581982235,568447672
부산교육대학교,국공립,부산,대학,3316000.0,3613922640,296,776300600,329000600
부산대학교,국공립,부산,대학,4514543.2,60134538340,6755,21512759521,11227626599
부산디지털대학교,사립,부산,대학,2522964.0,5436341928,431,902347300,125647300
부산보건대학교,사립,부산,전문대학,6614811.3,10557453862,886,2028373950,692073950
부산여자대학교,사립,부산,전문대학,6503938.5,7421075585,569,1464283030,619083030
부산예술대학교,사립,부산,전문대학,5696501.5,3138582115,139,364256160,128756160
부산외국어대학교,사립,부산,대학,7046968.4,23539128043,1967,5412225125,2542953462
부산장신대학교,사립,경남,대학,6316875.0,729173140,201,734816150,451916150
부천대학교,사립,경기,전문대학,6909184.8,30500573348,2241,6408641308,3776223245
사이버한국외국어대학교,사립,서울,대학,2888042.3,9573469001,1033,2411933110,637255320
삼육대학교,사립,서울,대학,8537542.9,21608284524,1731,5735370713,3716500756
삼육보건대학교,사립,서울,전문대학,6296214.5,4176811591,444,1234982090,712182090
상명대학교,사립,서울,대학,8596065.1,44656668211,4072,14988335427,10293393391
상지대학교,사립,강원,대학,8112354.0,20756493444,2053,6949880996,4159116503
서강대학교,사립,서울,대학,8698676.8,25739870968,4489,26638379868,21354449655
서경대학교,사립,서울,대학,8688695.9,23895424006,2155,7550543584,5215543584
서영대학교,사립,광주,전문대학,6027954.0,19291392552,1455,3560116379,1323422927
서울과학기술대학교,국공립,서울,대학,5494477.2,31205737972,2705,8130933109,4332378600
서울교육대학교,국공립,서울,대학,3256000.0,2664739655,335,941862000,497312000
서울기독대학교,사립,서울,대학,8139117.6,2072223830,160,548324519,324483120
서울대학교,국공립,서울,대학,6091815.7,55264819196,6196,26055585607,17774935607
서울디지털대학교,사립,서울,대학,2311658.9,17371358750,1911,4171458084,688122250
서울사이버대학교,사립,서울,대학,2850600.1,27666384213,2862,6588331082,1662447390
서울시립대학교,국공립,서울,대학,2530265.8,20394425532,2913,8243715520,3674180420
서울신학대학교,사립,경기,대학,7676276.8,10505888245,1245,4506378318,2966895259
서울여자간호대학교,사립,서울,전문대학,6963750.0,2690290412,387,1144213813,644713813
서울여자대학교,사립,서울,대학,8244464.4,25528477816,1776,5832175423,3775608455
서울예술대학교,사립,경기,전문대학,8694943.4,12508086343,1804,6698431630,4191748290
