학교명,설립별,지역별,학제별,평균등록금(원),장학금_총계,총_대출_학생수,총_대출_금액,총_등록금대출_금액
한신대학교,사립,경기,대학,7892204.1,18457453964,1812,5405572571,3458322560
한양대학교,사립,서울,대학,9286647.0,102965000000,12580,60326739616,44744213741
한양사이버대학교,사립,서울,대학,2936765.0,26133850820,3335,7951942464,2371751000
한양여자대학교,사립,서울,전문대학,6761049.0,23463497155,1804,5170959269,3138001639
한영대학교,사립,전남,전문대학,6185299.1,4129483265,371,949565546,369028046
한일장신대학교,사립,전북,대학,6852602.7,3632525397,283,813619490,389034741
협성대학교,사립,경기,대학,8135252.7,13592547291,1223,3975632911,2526632911
혜전대학교,사립,충남,전문대학,6323583.0,11039397527,826,2271958028,1041758028
호남대학교,사립,광주,대학,6788793.8,26828664218,1497,3974798476,1821598476
호남신학대학교,사립,광주,대학,6973029.8,2274507323,213,770385800,462385800
호산대학교,사립,경북,전문대학,6196261.2,8078326110,584,1634434977,725493540
호서대학교,사립,충남,대학,8412408.0,47505272182,4206,14593672832,9523455362
호원대학교,사립,전북,대학,7501238.6,22422425790,1608,4736899673,2477416333
홍익대학교,사립,서울,대학,9152336.8,75731014441,7001,31416608948,23045389913
화신사이버대학교,사립,부산,대학,2515636.4,5696989620,178,316200000,14800000
